city,city_id,state,year,form_id
Albany,193,NY,1938,19371001
Allentown,199,PA,,
Union Co.,450,NJ,1939,1939
Bergen Co.,190,NJ,1939,1939
Bethlehem,130,PA,,
Davenport,403,IA,,1
Des Moines,40,IA,,1
Columbia,146,SC,,19371001
Shreveport,64,LA,,1
Little Rock,13,AR,,1
Covington,60,KY,,
Peoria,404,IL,1938,
Lincoln,410,NE,19XX,
Kenosha,173,WI,1937,19371001
Huntington,178,WV,,19371001
Harrisburg,133,PA,,
Lansing,76,MI,,
McKeesport,136,PA,,
Port Arthur,159,TX,,
Phoenix,14,AZ,,1
Portsmouth,320,VA,,
Ogden,162,UT,,1
Waterbury,183,CT,,19370203
Scranton,140,PA,,
Springfield,66,MA,,
Savannah,37,GA,,1
Queens,104,NY,1938,19371001
Topeka,58,KS,,1
Lower Westchester Co.,197,NY,1940,19370601
Woonsocket,145,RI,,1
Charleston,177,WV,1938,19371001
Chelsea,271,MA,1939,19371001
Wilkes-Barre,141,PA,,
Belmont,266,MA,1939,19371001
Wheeling,179,WV,1938,19371001
New Britain,182,CT,1937,19370203
Essex Co.,96,NJ,1939,1939
Salt Lake City,163,UT,,1
Pueblo,24,CO,,1
Brockton,184,MA,1937,19370601
Sacramento,18,CA,1937,19371001
"Stamford, Darien, and New Canaan",28,CT,1937,19370826
Utica,110,NY,1936,19371001
Augusta,34,GA,1937,19370826
Braintree,268,MA,1939,19371001
Newton,280,MA,1937,19371001
Rockford,49,IL,1937,19371001
Los Angeles,16,CA,1939,1939
Minneapolis,81,MN,1937,1
San Francisco,20,CA,1937,1
Atlanta,33,GA,1938,19371001
Council Bluffs,38,IA,,
Chester,131,PA,,
Columbus,116,OH,1936,0
New Orleans,63,LA,1939,1939
Baltimore,68,MD,1937,19370601
Norfolk,166,VA,1940,1939
Winchester,287,MA,1939,19371001
Akron,114,OH,1939,1939
Youngstown,125,OH,1938,19371001
Haverhill,185,MA,1937,19370203
Worcester,187,MA,,
Lancaster,135,PA,,
Pawtucket & Central Falls,143,RI,,
St. Louis,85,MO,1937,
Needham,279,MA,1939,19371001
Mobile,11,AL,1937,19370601
Knoxville,148,TN,1939,1939
Macon,36,GA,1937,19370826
Medford,276,MA,,19371001
Bay City,70,MI,1937,19370601
Pontiac,78,MI,1937,19370203
Saginaw,79,MI,1937,19370203
Portsmouth,121,OH,1938,19371001
Battle Creek,69,MI,1937,19370203
Chattanooga,147,TN,1939,1939
Watertown,286,MA,1939,19371001
Milton,278,MA,1939,19371001
Elmira,196,NY,1937,19371001
Rochester,82,MN,,0
New Haven,27,CT,1937,19370826
Brookline,269,MA,1939,19371001
Lexington,61,KY,1936,19371001
Revere,282,MA,,19371001
Dayton,117,OH,1937,19370203
Toledo,123,OH,1938,19371001
Camden,191,NJ,1937,19370601
Holyoke Chicopee,186,MA,1937,1
Detroit,71,MI,1939,1939
Asheville,90,NC,1937,19370826
Joliet,48,IL,1937,19370601
Tacoma,172,WA,1937,19371001
Troy,109,NY,1937,19371001
Jacksonville,29,FL,1937,1
Pittsburgh,139,PA,1937,19370826
Saugus,283,MA,,19371001
Terre Haute,57,IN,1937,19371001
Nashville,306,TN,,
Portland,128,OR,1937,19371001
Omaha,400,NE,,
Buffalo,195,NY,1937,19370203
Lorain,120,OH,1937,19370601
Wichita,59,KS,1937,19370203
Austin,246,TX,19xx,0
Springfield,86,MO,1937,19371001
South Bend,56,IN,1937,19370203
Cambridge,270,MA,1939,19371001
Hartford,313,CT,,19371001
Binghamton-Johnson City,194,NY,1937,19370203
Dubuque,41,IA,,1
Springfield,50,IL,1937,19370203
Lake Co. Gary,54,IN,1937,19371001
St. Paul,83,MN,,1
Trenton,192,NJ,1937,19370826
Waterloo,43,IA,,1
Sioux City,42,IA,,1
Waltham,285,MA,1939,19371001
Dedham,272,MA,1939,19371001
Miami,30,FL,1937,19371001
Dallas,154,TX,1937,19371001
Johnstown,134,PA,1937,19370826
Waco,161,TX,,
Memphis,149,TN,,
Bridgeport,180,CT,1938,0
Lake Co. Calumet/Hammond,305,IN,1937,19371001
Amarillo,151,TX,,
Houston,158,TX,,
Galveston,157,TX,,
Fort Worth,156,TX,,
Tulsa,127,OK,,
Lexington,274,MA,,19371001
Hamilton,118,OH,1938,19371001
Atlantic City,189,NJ,1940,1939
San Diego,19,CA,1938,1
Quincy,281,MA,1939,19371001
Manhattan,101,NY,1937,19371001
Philadelphia,138,PA,1937,19370601
Tampa,32,FL,1936,1
Aurora,44,IL,1938,19371001
Flint,72,MI,1937,19370203
Oakland,17,CA,1937,19370826
Richmond,168,VA,1937,19370203
Louisville,62,KY,1938,0
Brooklyn,99,NY,1938,19371001
Providence,144,RI,,
Jackson,74,MI,,
Muncie,55,IN,1937,19370826
Birmingham,10,AL,"1937
",19371001
Erie,132,PA,1937,19370826
Durham,92,NC,1937,19370203
Oshkosh,175,WI,1938,19371001
Fort Wayne,52,IN,1937,19370601
Milwaukee Co.,201,WI,1937,19371001
Melrose,277,MA,1939,19371001
Stockton,22,CA,1938,19371001
Boston,267,MA,1938,19371001
Evansville,51,IN,1937,19370203
Kalamazoo,75,MI,1937,19370826
Springfield,122,OH,1938,19371001
Warren,124,OH,1937,19370826
Seattle,170,WA,1936,1
Roanoke,169,VA,1937,19370203
Chicago,45,IL,1940,1939
Winthrop,288,MA,1939,19371001
Somerville,284,MA,1939,19371001
Madison,174,WI,1937,6234766
San Antonio,160,TX,,
Malden,275,MA,,19371001
El Paso,155,TX,1936,1
Beaumont,153,TX,,
Canton,198,OH,1937,19371001
Lima,119,OH,1937,19370203
Montgomery,12,AL,1937,19370826
Rochester,105,NY,1935,1939
Schenectady,106,NY,1938,19371001
Muskegon,77,MI,1937,19371001
Duluth,80,MN,1936,1
Oklahoma City,126,OK,1939,0
Altoona,237,PA,1937,19370826
Greater Kansas City,226,MO,1939,1939
Spokane,171,WA,1938,19371001
Newport News,165,VA,1937,0
Racine,176,WI,1937,19371001
Fresno,15,CA,1936,1
Charlotte,91,NC,1935,19370203
Bronx,98,NY,1938,19371001
Grand Rapids,73,MI,1937,19371001
Niagara Falls,102,NY,1937,19370826
Indianapolis,53,IN,1937,19370203
Columbus,35,GA,1937,19370826
Poughkeepsie,103,NY,1938,19371001
Cleveland,115,OH,1939,1939
San Jose,21,CA,1937,19370826
Decatur,46,IL,1937,19370203
Greensboro,93,NC,1936,19370203
Manchester,188,NH,1937,19370203
New Castle,137,PA,1937,19370826
Hudson Co.,95,NJ,1939,1939
Staten Island,107,NY,1940,19371001
Lynchburg,164,VA,1937,19370203
East St. Louis,47,IL,1940,1939
